Fecha,"Pedido #",Estado,Cliente,Producto(s),"Artículos vendidos",Cupón(es),"Ingresos netos"
"2020-07-01 22:10:04",5984,epayco-completed,new,"1× LALABAG CO JULIO 2020",1,amolalabagco,64286
"2020-07-01 22:06:47",5983,epayco-completed,new,"1× LALABAG CO JULIO 2020",1,amolalabagco,64286
"2020-07-01 22:03:10",5982,epayco-completed,returning,"1× LALABAG CO JULIO 2020",1,amolalabagco,64286
"2020-07-01 22:02:03",5981,epayco-completed,new,"1× LALABAG CO JULIO 2020",1,amolalabagco,64286
"2020-07-01 21:57:22",5980,epayco-completed,returning,"1× LALABAG CO JULIO 2020",1,amolalabagco,64286
"2020-07-01 21:51:08",5976,epayco-completed,new,"1× LALABAG CO JULIO 2020",1,amolalabagco,64286
"2020-07-01 21:50:10",5975,epayco-completed,returning,"1× LALABAG CO JULIO 2020",1,amolalabagco,64286
"2020-07-01 21:50:08",5974,epayco-completed,returning,"1× LALABAG CO JULIO 2020",1,amolalabagco,64286
"2020-07-01 21:49:02",5973,epayco-completed,new,"1× LALABAG CO JULIO 2020",1,amolalabagco,64286
"2020-07-01 21:45:16",5972,epayco-completed,new,"1× LALABAG",1,,50420
"2020-07-01 21:43:04",5971,epayco-completed,new,"1× LALABAG CO JULIO 2020",1,amolalabagco,64286
"2020-07-01 21:42:43",5970,epayco-completed,returning,"1× LALABAG CO JULIO 2020",1,amolalabagco,64286
"2020-07-01 15:19:08",5957,epayco-completed,new,"1× LALABAG PRO",1,,126050
"2020-07-01 09:52:29",5952,epayco-completed,new,"1× LALABAG",1,,50420
